Fecha;Temporada;Club de origen;Club Comprador;Valor pagado;Valor Estimado;Déficit;Jugador
04-08-2025;25/26;Hibernian FC;Blackburn;$860,000.00;$900,000.00;-4,44;Lewis Miller
03-08-2025;25/26;Ajax;Chelsea;$44,180,000.00;$35,000,000.00;26,23;Jorrel Hato
02-08-2025;25/26;AZ Alkmaar;Wolves;$12,000,000.00;$9,000,000.00;33,33;David Møller Wolfe
01-08-2025;25/26;NEC Nijmegen;Sunderland;$10,500,000.00;$4,000,000.00;162,5;Robin Roefs
30-07-2025;25/26;Leverkusen;Sunderland;$15,000,000.00;$12,000,000.00;25;Granit Xhaka
29-07-2025;25/26;Burnley;Man City;$31,200,000.00;$22,000,000.00;41,82;James Trafford
29-07-2025;25/26;Bayern Munich;Everton;$9,000,000.00;$4,000,000.00;125;Adam Aznou
26-07-2025;25/26;Montpellier;Fulham;$500,000.00;$1,500,000.00;-66,67;Benjamin Lecomte
26-07-2025;25/26;Sporting;Arsenal;$66,900,000.00;$75,000,000.00;-10,8;Viktor Gyökeres
25-07-2025;25/26;Hull City;Middlesbrough;$4,200,000.00;$4,000,000.00;5;Alfie Jones
24-07-2025;25/26;Fluminense;Wolves;$17,000,000.00;$17,000,000.00;0;Jhon Arias
24-07-2025;25/26;Valencia;Arsenal;$15,000,000.00;$30,000,000.00;-50;Cristhian Mosquera
23-07-2025;25/26;Frankfurt;Liverpool;$95,000,000.00;$75,000,000.00;26,67;Hugo Ekitiké
21-07-2025;25/26;Brentford;Man Utd;$75,000,000.00;$55,000,000.00;36,36;Bryan Mbeumo
18-07-2025;25/26;Chelsea;Arsenal;$56,000,000.00;$40,000,000.00;40;Noni Madueke
18-07-2025;25/26;Montréal;West Brom;$1,300,000.00;$1,200,000.00;8,33;George Campbell
17-07-2025;25/26;Rosenborg BK;Man City;$15,000,000.00;$15,000,000.00;0;Sverre Nypan
15-07-2025;25/26;Stade Brestois;Aston Villa;$500,000.00;$3,000,000.00;-83,33;Marco Bizot
15-07-2025;25/26;Bournemouth;Everton;$4,600,000.00;$4,000,000.00;15;Mark Travers
15-07-2025;25/26;Slavia Praha;West Ham;$22,000,000.00;$18,000,000.00;22,22;El Hadji Malick Diouf
14-07-2025;25/26;Palmeiras;Chelsea;$45,000,000.00;$60,000,000.00;-25;Estêvão
11-07-2025;25/26;Ajax;Crystal Palace;$2,300,000.00;$4,500,000.00;-48,89;Borna Sosa
11-07-2025;25/26;Nott'm Forest;Newcastle;$61,400,000.00;$42,000,000.00;46,19;Anthony Elanga
10-07-2025;25/26;Brentford;Arsenal;$11,600,000.00;$11,000,000.00;5,45;Christian Nørgaard
10-07-2025;25/26;KV Kortrijk;Blackburn;$576,000.00;$500,000.00;15,2;Ryan Alebiosu
10-07-2025;25/26;Brighton;Sunderland;$24,400,000.00;$28,000,000.00;-12,86;Simon Adingra
09-07-2025;25/26;Club Brugge;Sunderland;$20,000,000.00;$8,000,000.00;150;Chemsdine Talbi
09-07-2025;25/26;1.FC Köln;Southampton;$8,000,000.00;$6,000,000.00;33,33;Damion Downs
09-07-2025;25/26;Villarreal;Everton;$30,000,000.00;$20,000,000.00;50;Thierno Barry
07-07-2025;25/26;SK Brann;West Brom;$5,500,000.00;$3,500,000.00;57,14;Aune Heggebø
06-07-2025;25/26;Real Sociedad;Arsenal;$70,000,000.00;$60,000,000.00;16,67;Martín Zubimendi
05-07-2025;25/26;Plymouth;Stoke City;$2,000,000.00;$3,000,000.00;-33,33;Maksym Taloverov
05-07-2025;25/26;Dortmund;Chelsea;$56,000,000.00;$50,000,000.00;12;Jamie Gittens
05-07-2025;25/26;Cerro Porteño;Man Utd;$4,000,000.00;$4,000,000.00;0;Diego León
04-07-2025;25/26;Union SG;Sunderland;$17,000,000.00;$12,000,000.00;41,67;Noah Sadiki
02-07-2025;25/26;Brighton;Chelsea;$63,700,000.00;$50,000,000.00;27,4;João Pedro
01-07-2025;25/26;Chelsea;Arsenal;$5,800,000.00;$10,000,000.00;-42;Kepa Arrizabalaga
01-07-2025;25/26;Celta de Vigo;Wolves;$27,000,000.00;$30,000,000.00;-10;Jørgen Strand Larsen
01-07-2025;25/26;Leverkusen;Liverpool;$40,000,000.00;$50,000,000.00;-20;Jeremie Frimpong
