Fecha;Temporada;Club de origen_1;Club comprador_2;Valor pagado;Valor estimado;Deficit;Jugador
18-07-2025;25/26;Montréal;West Brom;1300000;1200000;8;George Campbell
17-07-2025;25/26;Rosenborg BK;Man City;15000000;15000000;0;Sverre Nypan
15-07-2025;25/26;Stade Brestois;Aston Villa;500000;3000000;-83;Marco Bizot
15-07-2025;25/26;Bournemouth;Everton;4600000;4000000;15;Mark Travers
15-07-2025;25/26;Slavia Praha;West Ham;22000000;18000000;22;El Hadji Malick Diouf
14-07-2025;25/26;Palmeiras;Chelsea;45000000;60000000;-25;Estêvão
11-07-2025;25/26;Ajax;Crystal Palace;2300000;4500000;-49;Borna Sosa
11-07-2025;25/26;Nott'm Forest;Newcastle;61400000;42000000;46;Anthony Elanga
10-07-2025;25/26;Brentford;Arsenal;11600000;11000000;5;Christian Nørgaard
10-07-2025;25/26;KV Kortrijk;Blackburn;576000;500000;15;Ryan Alebiosu
10-07-2025;25/26;Brighton;Sunderland;24400000;28000000;-13;Simon Adingra
09-07-2025;25/26;Club Brugge;Sunderland;20000000;8000000;150;Chemsdine Talbi
09-07-2025;25/26;1.FC Köln;Southampton;8000000;6000000;33;Damion Downs
09-07-2025;25/26;Villarreal;Everton;30000000;20000000;50;Thierno Barry
07-07-2025;25/26;SK Brann;West Brom;5500000;3500000;57;Aune Heggebø
06-07-2025;25/26;Real Sociedad;Arsenal;70000000;60000000;17;Martín Zubimendi
05-07-2025;25/26;Plymouth;Stoke City;2000000;3000000;-33;Maksym Taloverov
05-07-2025;25/26;Dortmund;Chelsea;56000000;50000000;12;Jamie Gittens
05-07-2025;25/26;Cerro Porteño;Man Utd;4000000;4000000;0;Diego León
04-07-2025;25/26;Union SG;Sunderland;17000000;12000000;42;Noah Sadiki
02-07-2025;25/26;Brighton;Chelsea;63700000;50000000;27;João Pedro
01-07-2025;25/26;Chelsea;Arsenal;5800000;10000000;-42;Kepa Arrizabalaga
01-07-2025;25/26;Celta de Vigo;Wolves;27000000;30000000;-10;Jørgen Strand Larsen
01-07-2025;25/26;Leverkusen;Liverpool;40000000;50000000;-20;Jeremie Frimpong
01-07-2025;25/26;KV Kortrijk;Blackburn;750000;900000;-17;Dion De Neve
01-07-2025;25/26;Moreirense;Blackburn;2000000;800000;150;Sidnei Tavares
01-07-2025;25/26;Wolves;Man Utd;74200000;60000000;24;Matheus Cunha
01-07-2025;25/26;Leverkusen;Liverpool;125000000;140000000;-11;Florian Wirtz
01-07-2025;25/26;Nice;West Ham;40000000;25000000;60;Jean-Clair Todibo
01-07-2025;25/26;Roma;Sunderland;23750000;18000000;32;Enzo Le Fée
01-07-2025;25/26;Bournemouth;Liverpool;46900000;45000000;4;Milos Kerkez
01-07-2025;25/26;Flamengo;Everton;15000000;14000000;7;Carlos Alcaraz
01-07-2025;25/26;R. Strasbourg;Sunderland;31500000;20000000;58;Habib Diarra
01-07-2025;25/26;Kasimpasa;Aston Villa;7000000;7500000;-7;Yasin Özcan
01-07-2025;25/26;Independiente;Chelsea;10000000;10000000;0;Kendry Páez
01-07-2025;25/26;Celta de Vigo;Wolves;23000000;5000000;360;Fer López
10-06-2025;25/26;Chelsea;Man City;2400000;600000;300;Marcus Bettinelli
10-06-2025;25/26;AC Milan;Man City;54900000;50000000;10;Tijjani Reijnders
10-06-2025;25/26;Lyon;Man City;36500000;45000000;-19;Rayan Cherki
10-06-2025;25/26;Sporting;Chelsea;22270000;20000000;11;Dário Essugo
09-06-2025;25/26;Wolves;Man City;36800000;35000000;5;Rayan Aït-Nouri
09-06-2025;25/26;R. Strasbourg;Chelsea;14000000;20000000;-30;Mamadou Sarr
04-06-2025;25/26;Ipswich;Chelsea;35500000;40000000;-11;Liam Delap
03-02-2025;24/25;Stade Reims;Wolves;18000000;10000000;80;Marshall Munetsi
03-02-2025;24/25;Porto;Man City;60000000;18000000;233;Nico González
03-02-2025;24/25;Randers FC;West Brom;4000000;500000;700;Tammer Bany
03-02-2025;24/25;Red Star;Wolves;12000000;7000000;71;Nasser Djiga
03-02-2025;24/25;Saint-Étienne;Chelsea;15000000;5000000;200;Mathis Amougou
02-02-2025;24/25;Lecce;Man Utd;30000000;20000000;50;Patrick Dorgu
01-02-2025;24/25;Zenit S-Pb;Sunderland;6000000;4000000;50;Wilson Isidor
01-02-2025;24/25;Arsenal U21;Man Utd;1800000;300000;500;Ayden Heaven
27-01-2025;24/25;Real Valladolid;Man City;6000000;1000000;500;Juma Bah
25-01-2025;24/25;Ipswich;Middlesbrough;710000;350000;103;George Edmundson
23-01-2025;24/25;Frankfurt;Man City;75000000;60000000;25;Omar Marmoush
22-01-2025;24/25;Standard Liège;West Brom;3000000;3000000;0;Isaac Price
21-01-2025;24/25;Palmeiras;Man City;37000000;14000000;164;Vitor Reis
21-01-2025;24/25;Levante;Aston Villa;7000000;1200000;483;Andrés García
20-01-2025;24/25;Lens;Man City;40000000;12000000;233;Abdukodir Khusanov
18-01-2025;24/25;Millwall;Crystal Palace;14200000;5000000;184;Romain Esse
15-01-2025;24/25;Parma;Leicester;2000000;2000000;0;Woyo Coulibaly
14-01-2025;24/25;Dortmund;Aston Villa;25000000;28000000;-11;Donyell Malen
09-01-2025;24/25;Stade Reims;Wolves;20000000;10000000;100;Emmanuel Agbadou
09-01-2025;24/25;Valenciennes FC;Southampton;5000000;800000;525;Joachim Kayi Sanda
30-08-2024;24/25;Crystal Palace;Wolves;11900000;10000000;19;Sam Johnstone
30-08-2024;24/25;Celtic;West Brom;3500000;3000000;17;Mikey Johnston
30-08-2024;24/25;Arsenal;Crystal Palace;29700000;30000000;-1;Eddie Nketiah
30-08-2024;24/25;Fehérvár;Blackburn;1200000;700000;71;Balázs Tóth
30-08-2024;24/25;Arsenal;Southampton;21400000;25000000;-14;Aaron Ramsdale
30-08-2024;24/25;Wolfsburg;Crystal Palace;18000000;20000000;-10;Maxence Lacroix
30-08-2024;24/25;PSG;Man Utd;50000000;45000000;11;Manuel Ugarte
30-08-2024;24/25;Fluminense;Wolves;22000000;25000000;-12;André
30-08-2024;24/25;Radnicki 1923;Sunderland;3500000;700000;400;Milan Aleksic
29-08-2024;24/25;Juventus;Liverpool;12000000;35000000;-66;Federico Chiesa
29-08-2024;24/25;Genk;Leicester;22500000;30000000;-25;Bilal El Khannouss
27-08-2024;24/25;Real Sociedad;Arsenal;32000000;50000000;-36;Mikel Merino
27-08-2024;24/25;Valencia;Liverpool;30000000;45000000;-33;Giorgi Mamardashvili
27-08-2024;24/25;Genk;Chelsea;20000000;1000000;1900;Mike Penders
24-08-2024;24/25;Barnsley;West Brom;600000;2500000;-76;Callum Styles
23-08-2024;24/25;Crystal Palace;Leicester;5900000;4000000;48;Jordan Ayew
23-08-2024;24/25;Crystal Palace;Fulham;29500000;35000000;-16;Joachim Andersen
22-08-2024;24/25;Burnley;Fulham;23550000;20000000;18;Sander Berge
21-08-2024;24/25;Atlético;Chelsea;52000000;30000000;73;João Félix
20-08-2024;24/25;Sporting;Southampton;15000000;8000000;88;Mateus Fernandes
19-08-2024;24/25;Tottenham;Leicester;23500000;15000000;57;Oliver Skipp
16-08-2024;24/25;Aston Villa;Southampton;17600000;13000000;35;Cameron Archer
16-08-2024;24/25;Bristol City;Middlesbrough;5300000;4000000;33;Tommy Conway
15-08-2024;24/25;São Paulo;Southampton;900000;800000;13;Juan
13-08-2024;24/25;Bayern Munich;Man Utd;45000000;65000000;-31;Matthijs de Ligt
13-08-2024;24/25;Bayern Munich;Man Utd;15000000;30000000;-50;Noussair Mazraoui
13-08-2024;24/25;Man Utd;West Ham;17600000;20000000;-12;Aaron Wan-Bissaka
12-08-2024;24/25;Celtic B;Stoke City;2340000;300000;680;Bosun Lawal
11-08-2024;24/25;Wolves;Chelsea;60000000;55000000;9;Pedro Neto
08-08-2024;24/25;Sheff Utd;Newcastle;11600000;3000000;287;William Osula
08-08-2024;24/25;Boca Juniors;Chelsea;16500000;3000000;450;Aarón Anselmino
05-08-2024;24/25;Dortmund;West Ham;27000000;15000000;80;Niclas Füllkrug
03-08-2024;24/25;Leeds;West Ham;29300000;20000000;47;Crysencio Summerville
03-08-2024;24/25;Villarreal;Fulham;6700000;6000000;12;Jorge Cuenca
02-08-2024;24/25;Arsenal;Fulham;31800000;22000000;45;Emile Smith Rowe
01-08-2024;24/25;Marseille;Crystal Palace;15000000;18000000;-17;Ismaïla Sarr
30-07-2024;24/25;Villarreal;Southampton;8300000;8000000;4;Ben Brereton Díaz
30-07-2024;24/25;Villarreal;Chelsea;24500000;20000000;23;Filip Jørgensen
30-07-2024;24/25;Lyon;Everton;19500000;12000000;63;Jake O'Brien
29-07-2024;24/25;Bologna;Arsenal;43700000;45000000;-3;Riccardo Calafiori
22-07-2024;24/25;Everton;Aston Villa;59350000;50000000;19;Amadou Onana
22-07-2024;24/25;Atlanta;Chelsea;10100000;5000000;102;Caleb Wiley
19-07-2024;24/25;Hull City;Aston Villa;16000000;15000000;7;Jaden Philogene
18-07-2024;24/25;Troyes;Man City;25000000;50000000;-50;Savinho
18-07-2024;24/25;Lille;Man Utd;62000000;50000000;24;Leny Yoro
16-07-2024;24/25;West Ham;Southampton;17850000;9000000;98;Flynn Downes
14-07-2024;24/25;AZ Alkmaar;Southampton;7000000;12000000;-42;Yukinari Sugawara
14-07-2024;24/25;Bologna;Man Utd;42500000;50000000;-15;Joshua Zirkzee
12-07-2024;24/25;Basel;Chelsea;14000000;3000000;367;Renato Veiga
11-07-2024;24/25;Sheff Utd;Aston Villa;16650000;13000000;28;Cameron Archer
09-07-2024;24/25;Atalanta BC;Leicester;14000000;8000000;75;Caleb Okoli
07-07-2024;24/25;Chelsea U21;Leicester;5900000;300000;1867;Michael Golding
06-07-2024;24/25;Wolves;West Ham;47500000;32000000;48;Maximilian Kilman
05-07-2024;24/25;Swansea;Southampton;3500000;3800000;-8;Nathan Wood
04-07-2024;24/25;Brentford;Arsenal;31900000;35000000;-9;David Raya
04-07-2024;24/25;Brommapojkarna;West Brom;600000;500000;20;Torbjørn Heggem
03-07-2024;24/25;Marseille;Everton;18000000;15000000;20;Iliman Ndiaye
03-07-2024;24/25;Peterborough;Southampton;3500000;3800000;-8;Ronnie Edwards
02-07-2024;24/25;Leicester;Chelsea;35400000;30000000;18;Kiernan Dewsbury-Hall
02-07-2024;24/25;Real Betis;Crystal Palace;15000000;15000000;0;Chadi Riad
01-07-2024;24/25;Nott'm Forest;Newcastle;23600000;7000000;237;Odysseas Vlachodimos
01-07-2024;24/25;Luton;Aston Villa;5900000;8000000;-26;Ross Barkley
01-07-2024;24/25;Rotherham;Stoke City;1000000;2800000;-64;Viktor Johansson
01-07-2024;24/25;Man City;Wolves;5000000;10000000;-50;Tommy Doyle
01-07-2024;24/25;Chelsea;Aston Villa;44500000;40000000;11;Ian Maatsen
01-07-2024;24/25;Man City;Southampton;23000000;22000000;5;Taylor Harwood-Bellis
01-07-2024;24/25;Columbus;Middlesbrough;3730000;3000000;24;Aidan Morris
01-07-2024;24/25;Juventus;Aston Villa;14000000;13000000;8;Samuel Iling-Junior
01-07-2024;24/25;Everton;Aston Villa;11800000;2500000;372;Lewis Dobbin
01-07-2024;24/25;Braga;Wolves;15000000;12000000;25;Rodrigo Gomes
01-07-2024;24/25;Chelsea;Newcastle;33000000;18000000;83;Lewis Hall
01-07-2024;24/25;Juventus;Aston Villa;8000000;7500000;7;Enzo Barrenechea
01-07-2024;24/25;Aston Villa;Everton;10700000;4000000;168;Tim Iroegbunam
01-07-2024;24/25;Sint-Truiden;Stoke City;1200000;2200000;-45;Eric-Junior Bocat
01-07-2024;24/25;Sporting;Leicester;16250000;10000000;63;Abdul Fatawu
01-07-2024;24/25;Aston Villa U21;Chelsea;22500000;1000000;2150;Omari Kellyman
01-07-2024;24/25;Barcelona;Chelsea;6000000;7500000;-20;Marc Guiu
01-07-2024;24/25;Palmeiras;West Ham;23000000;24000000;-4;Luís Guilherme
01-07-2024;24/25;Sport Recife;Wolves;10000000;2500000;300;Pedro Lima
01-02-2024;23/24;Middlesbrough;Aston Villa;9400000;2800000;236;Morgan Rogers
01-02-2024;23/24;Vitesse;Stoke City;4000000;3500000;14;Million Manhoef
01-02-2024;23/24;Adelaide United;Aston Villa;1500000;550000;173;Joe Gauci
01-02-2024;23/24;Standard Liège;Sunderland;1800000;600000;200;Romaine Mundle
01-02-2024;23/24;Blackburn;Crystal Palace;21100000;10000000;111;Adam Wharton
30-01-2024;23/24;Genk;Crystal Palace;8000000;10000000;-20;Daniel Muñoz
25-01-2024;23/24;River Plate;Man City;18500000;12000000;54;Claudio Echeverri
22-01-2024;23/24;Red Star;Aston Villa;7600000;2500000;204;Kosta Nedeljkovic
05-01-2024;23/24;Aston Villa U21;Middlesbrough;2900000;1500000;93;Finn Azaz
01-09-2023;23/24;Everton;Fulham;25700000;28000000;-8;Alex Iwobi
01-09-2023;23/24;Arsenal;Crystal Palace;1200000;8000000;-85;Rob Holding
01-09-2023;23/24;Fenerbahçe;Man Utd;5000000;11000000;-55;Altay Bayındır
01-09-2023;23/24;Zorya Lugansk;Sunderland;2500000;2000000;25;Nazariy Rusyn
01-09-2023;23/24;Sunderland;Southampton;9300000;2800000;232;Ross Stewart
01-09-2023;23/24;R. Strasbourg;Wolves;15000000;10000000;50;Jean-Ricner Bellegarde
01-09-2023;23/24;Bayern Munich;Liverpool;40000000;30000000;33;Ryan Gravenberch
01-09-2023;23/24;PSG;Sunderland;1000000;5000000;-80;Timothée Pembélé
01-09-2023;23/24;Man City;Chelsea;47000000;18000000;161;Cole Palmer
01-09-2023;23/24;Wolves;Man City;62000000;45000000;38;Matheus Nunes
01-09-2023;23/24;Everton;Leicester;8800000;5000000;76;Tom Cannon
31-08-2023;23/24;Man Utd;Crystal Palace;17500000;18000000;-3;Dean Henderson
31-08-2023;23/24;A. Klagenfurt;West Ham;1750000;800000;119;Andrew Irving
31-08-2023;23/24;Girona;Wolves;12000000;8000000;50;Santiago Bueno
31-08-2023;23/24;Daejeon Hana C.;Stoke City;2000000;275000;627;Jun-ho Bae
31-08-2023;23/24;Libertad;Wolves;6000000;1900000;216;Enso González
30-08-2023;23/24;Swansea;Fulham;870000;400000;118;Steven Benda
29-08-2023;23/24;Leicester;Fulham;13000000;25000000;-48;Timothy Castagne
29-08-2023;23/24;Udinese;Everton;25000000;25000000;0;Beto
27-08-2023;23/24;Ajax;West Ham;43000000;40000000;8;Mohammed Kudus
26-08-2023;23/24;New England;Chelsea;16000000;6000000;167;Djordje Petrovic
25-08-2023;23/24;Basel;Stoke City;5800000;4500000;29;Wouter Burger
24-08-2023;23/24;Stade Rennais;Man City;60000000;28000000;114;Jérémy Doku
24-08-2023;23/24;Santos;Chelsea;16000000;4000000;300;Deivid Washington
22-08-2023;23/24;Sampdoria;Stoke City;2500000;2500000;0;Mehdi Léris
22-08-2023;23/24;Stuttgart;West Ham;20000000;15000000;33;Konstantinos Mavropanos
18-08-2023;23/24;Stuttgart;Liverpool;20000000;6500000;208;Wataru Endo
18-08-2023;23/24;Southampton;Chelsea;62100000;32000000;94;Roméo Lavia
15-08-2023;23/24;Atalanta;Middlesbrough;7100000;1500000;373;Emmanuel Latte Lath
15-08-2023;23/24;Silkeborg IF;Middlesbrough;3000000;700000;329;Lukas Engel
14-08-2023;23/24;Southampton;West Ham;34800000;38000000;-8;James Ward-Prowse
14-08-2023;23/24;Brighton;Chelsea;116000000;75000000;55;Moisés Caicedo
11-08-2023;23/24;Sporting;Everton;12500000;3000000;317;Youssef Chermiti
10-08-2023;23/24;Ajax;West Ham;38000000;35000000;9;Edson Álvarez
08-08-2023;23/24;Odd;Blackburn;1000000;1700000;-41;Leopold Wahlstedt
08-08-2023;23/24;Southampton;Newcastle;37200000;25000000;49;Tino Livramento
05-08-2023;23/24;Brighton;Chelsea;23000000;22000000;5;Robert Sánchez
05-08-2023;23/24;Leipzig;Man City;90000000;75000000;20;Josko Gvardiol
05-08-2023;23/24;Atalanta;Man Utd;79800000;45000000;77;Rasmus Højlund
05-08-2023;23/24;Flamengo;Crystal Palace;20000000;9000000;122;Matheus França
04-08-2023;23/24;Monaco;Chelsea;45000000;30000000;50;Axel Disasi
01-08-2023;23/24;Stade Rennais;Chelsea;27000000;9000000;200;Lesley Ugochukwu
31-07-2023;23/24;Montpellier;Leicester;7500000;6000000;25;Stephy Mavididi
28-07-2023;23/24;Ajax;Fulham;22500000;15000000;50;Calvin Bassey
28-07-2023;23/24;FC Sochaux;Sunderland;800000;300000;167;Eliezer Mayenda
25-07-2023;23/24;Wolves;Fulham;6400000;6000000;7;Raúl Jiménez
23-07-2023;23/24;Leicester;Newcastle;44000000;35000000;26;Harvey Barnes
22-07-2023;23/24;Leverkusen;Aston Villa;55000000;50000000;10;Moussa Diaby
20-07-2023;23/24;Inter;Man Utd;50200000;35000000;43;André Onana
18-07-2023;23/24;Bröndby IF;Leicester;9040000;3500000;158;Mads Hermansen
16-07-2023;23/24;Santos;Chelsea;15000000;13000000;15;Ângelo
15-07-2023;23/24;West Ham;Arsenal;116600000;90000000;30;Declan Rice
14-07-2023;23/24;Ajax;Arsenal;40000000;42000000;-5;Jurriën Timber
12-07-2023;23/24;Villarreal;Aston Villa;33000000;45000000;-27;Pau Torres
07-07-2023;23/24;Man City U21;Middlesbrough;1200000;1800000;-33;Morgan Rogers
